Symbol,Name,Sector,Industry,Exchange,,,TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing,NASDAQ
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,NYSE,,,,,,,
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,NYSE,,,,,,,
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,NYSE,,,,,,,
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services,NYSE,,,,,,,
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,NYSE,,,,,,,
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,NYSE,,,,,,,
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,NYSE,,,,,,,
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,NYSE,,,,,,,
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,NYSE,,,,,,,
ACM,AECOM,Consumer Services,Military/Government/Technical,NYSE,,,,,,,
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing,NYSE,,,,,,,
AEB,Aegon NV,Finance,Life Insurance,NYSE,,,,,,,
AED,Aegon NV,Finance,Life Insurance,NYSE,,,,,,,
AEG,Aegon NV,Finance,Life Insurance,NYSE,,,,,,,
AEH,Aegon NV,Finance,Life Insurance,NYSE,,,,,,,
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,NYSE,,,,,,,
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services,NYSE,,,,,,,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical,NYSE,,,,,,,
AET,Aetna Inc.,Health Care,Medical Specialities,NYSE,,,,,,,
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,NYSE,,,,,,,
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE,,,,,,,
MITT,"AG Mortgage Investment Trust, Inc.",n/a,n/a,NYSE,,,,,,,
MITT^A,"AG Mortgage Investment Trust, Inc.",n/a,n/a,NYSE,,,,,,,
MITT^B,"AG Mortgage Investment Trust, Inc.",n/a,n/a,NYSE,,,,,,,
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE,,,,,,,
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,NYSE,,,,,,,
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AL,Air Lease Corporation,Technology,Diversified Commercial Services,NYSE,,,,,,,
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,NYSE,,,,,,,
AYR,Aircastle Limited,Technology,Diversified Commercial Services,NYSE,,,,,,,
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,NYSE,,,,,,,
ALP^Q,Alabama Power Company,n/a,n/a,NYSE,,,,,,,
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,NYSE,,,,,,,
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,NYSE,,,,,,,
AIN,Albany International Corporation,Basic Industries,Textiles,NYSE,,,,,,,
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,NYSE,,,,,,,
AA,Alcoa Corporation,Basic Industries,Aluminum,NYSE,,,,,,,
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ARE^D,"Alexandria Real Estate Equities, Inc.",n/a,n/a,NYSE,,,,,,,
AQN,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,NYSE,,,,,,,
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,NYSE,,,,,,,
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,NYSE,,,,,,,
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,NYSE,,,,,,,
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
ALE,"Allete, Inc.",Public Utilities,Power Generation,NYSE,,,,,,,
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,NYSE,,,,,,,
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,NYSE,,,,,,,
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,NYSE,,,,,,,
AWF,Alliance World Dollar Government Fund II,n/a,n/a,NYSE,,,,,,,
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,NYSE,,,,,,,
LNT,Alliant Energy Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,n/a,n/a,NYSE,,,,,,,
NCV,AllianzGI Convertible & Income Fund,n/a,n/a,NYSE,,,,,,,
NCV^A,AllianzGI Convertible & Income Fund,n/a,n/a,NYSE,,,,,,,
NCZ,AllianzGI Convertible & Income Fund II,n/a,n/a,NYSE,,,,,,,
NCZ^A,AllianzGI Convertible & Income Fund II,n/a,n/a,NYSE,,,,,,,
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,NYSE,,,,,,,
NIE,AllianzGI Equity & Convertible Income Fund,n/a,n/a,NYSE,,,,,,,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services,NYSE,,,,,,,
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE,,,,,,,
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,NYSE,,,,,,,
ALL^A,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^B,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^C.CL,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^D,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^E,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^F,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALL^G,Allstate Corporation (The),n/a,n/a,NYSE,,,,,,,
ALLY,Ally Financial Inc.,Finance,Major Banks,NYSE,,,,,,,
ALLY^A,Ally Financial Inc.,n/a,n/a,NYSE,,,,,,,
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,,,,,,,
ATUS,"Altice USA, Inc.",Consumer Services,Television Services,NYSE,,,,,,,
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,NYSE,,,,,,,
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,NYSE,,,,,,,
AMBR,"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,,,,,,,
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,,,,,,,
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment,NYSE,,,,,,,
AEE,Ameren Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,NYSE,,,,,,,
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE,,,,,,,
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,,,,,,,
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,NYSE,,,,,,,
AXP,American Express Company,Finance,Finance: Consumer Services,NYSE,,,,,,,
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AMH^D,American Homes 4 Rent,n/a,n/a,NYSE,,,,,,,
AMH^E,American Homes 4 Rent,n/a,n/a,NYSE,,,,,,,
AMH^F,American Homes 4 Rent,n/a,n/a,NYSE,,,,,,,
AMH^G,American Homes 4 Rent,n/a,n/a,NYSE,,,,,,,
AMH^H,American Homes 4 Rent,n/a,n/a,NYSE,,,,,,,
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
AIG.WS,"American International Group, Inc.",n/a,n/a,NYSE,,,,,,,
AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
ARL,"American Realty Investors, Inc.",Finance,Real Estate,NYSE,,,,,,,
ARA,"American Renal Associates Holdings, Inc",Health Care,Hospital/Nursing Management,NYSE,,,,,,,
AWR,American States Water Company,Public Utilities,Water Supply,NYSE,,,,,,,
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,NYSE,,,,,,,
AWK,American Water Works,Public Utilities,Water Supply,NYSE,,,,,,,
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,NYSE,,,,,,,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,NYSE,,,,,,,
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,NYSE,,,,,,,
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,NYSE,,,,,,,
AMN,AMN Healthcare Services Inc,Technology,Professional Services,NYSE,,,,,,,
AMRX,"Amneal Pharmaceuticals, Inc.",n/a,n/a,NYSE,,,,,,,
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls,NYSE,,,,,,,
APH,Amphenol Corporation,Capital Goods,Electrical Products,NYSE,,,,,,,
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,NYSE,,,,,,,
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,NYSE,,,,,,,
AFSI^A,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSI^B,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSI^C,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSI^D,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSI^E,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSI^F,"AmTrust Financial Services, Inc.",n/a,n/a,NYSE,,,,,,,
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NYSE,,,,,,,
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
ANDV,Andeavor,Energy,Integrated oil Companies,NYSE,,,,,,,
ANDX,Andeavor Logistics LP,Energy,Natural Gas Distribution,NYSE,,,,,,,
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,NYSE,,,,,,,
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,,,,,,,
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,NYSE,,,,,,,
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
NLY^C,Annaly Capital Management Inc,n/a,n/a,NYSE,,,,,,,
NLY^D,Annaly Capital Management Inc,n/a,n/a,NYSE,,,,,,,
NLY^F,Annaly Capital Management Inc,n/a,n/a,NYSE,,,,,,,
NLY^G,Annaly Capital Management Inc,n/a,n/a,NYSE,,,,,,,
NLY^H,Annaly Capital Management Inc,n/a,n/a,NYSE,,,,,,,
AMGP,Antero Midstream GP LP,Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
AR,Antero Resources Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
ANTM,"Anthem, Inc.",Health Care,Medical Specialities,NYSE,,,,,,,
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ANH^A,Anworth Mortgage Asset  Corporation,n/a,n/a,NYSE,,,,,,,
ANH^B,Anworth Mortgage Asset  Corporation,n/a,n/a,NYSE,,,,,,,
ANH^C,Anworth Mortgage Asset  Corporation,n/a,n/a,NYSE,,,,,,,
AON,Aon plc,Finance,Specialty Insurers,NYSE,,,,,,,
APA,Apache Corporation,Energy,Oil & Gas Production,NYSE,,,,,,,
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AIV^A,Apartment Investment and Management Company,n/a,n/a,NYSE,,,,,,,
APY,Apergy Corporation,Technology,Industrial Machinery/Components,NYSE,,,,,,,
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ARI^C,Apollo Commercial Real Estate Finance,n/a,n/a,NYSE,,,,,,,
APO,"Apollo Global Management, LLC",Finance,Investment Managers,NYSE,,,,,,,
APO^A,"Apollo Global Management, LLC",n/a,n/a,NYSE,,,,,,,
APO^B,"Apollo Global Management, LLC",n/a,n/a,NYSE,,,,,,,
AIY,Apollo Investment Corporation,n/a,n/a,NYSE,,,,,,,
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,NYSE,,,,,,,
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a,NYSE,,,,,,,
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,NYSE,,,,,,,
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,NYSE,,,,,,,
APTV,Aptiv PLC,Capital Goods,Auto Parts:O.E.M.,NYSE,,,,,,,
WTR,"Aqua America, Inc.",Public Utilities,Water Supply,NYSE,,,,,,,
AQ,Aquantia Corp.,Technology,Semiconductors,NYSE,,,,,,,
WAAS,AquaVenture Holdings Limited,Public Utilities,Water Supply,NYSE,,,,,,,
ARMK,Aramark,Consumer Services,Restaurants,NYSE,,,,,,,
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ABR^A,Arbor Realty Trust,n/a,n/a,NYSE,,,,,,,
ABR^B,Arbor Realty Trust,n/a,n/a,NYSE,,,,,,,
ABR^C,Arbor Realty Trust,n/a,n/a,NYSE,,,,,,,
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services,NYSE,,,,,,,
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore,NYSE,,,,,,,
ARCH,"Arch Coal, Inc.",Energy,Coal Mining,NYSE,,,,,,,
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,NYSE,,,,,,,
AROC,"Archrock, Inc.",Public Utilities,Natural Gas Distribution,NYSE,,,,,,,
ARNC,Arconic Inc.,Capital Goods,Metal Fabrications,NYSE,,,,,,,
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants,NYSE,,,,,,,
RCUS,"Arcus Biosciences, Inc.",Health Care,Major Pharmaceuticals,NYSE,,,,,,,
ARD,Ardagh Group S.A.,Consumer Durables,Containers/Packaging,NYSE,,,,,,,
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,NYSE,,,,,,,
AFC,Ares Capital Corporation,n/a,n/a,NYSE,,,,,,,
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",n/a,n/a,NYSE,,,,,,,
ARES,Ares Management L.P.,Finance,Investment Managers,NYSE,,,,,,,
ARES^A,Ares Management L.P.,n/a,n/a,NYSE,,,,,,,
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,NYSE,,,,,,,
ARGD,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NYSE,,,,,,,
ARGO,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NYSE,,,,,,,
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment,NYSE,,,,,,,
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE,,,,,,,
AI^B,Arlington Asset Investment Corp,n/a,n/a,NYSE,,,,,,,
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE,,,,,,,
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE,,,,,,,
ARLO,"Arlo Technologies, Inc.",Consumer Non-Durables,Consumer Electronics/Appliances,NYSE,,,,,,,
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,NYSE,,,,,,,
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ARR^A,"ARMOUR Residential REIT, Inc.",n/a,n/a,NYSE,,,,,,,
ARR^B,"ARMOUR Residential REIT, Inc.",n/a,n/a,NYSE,,,,,,,
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,NYSE,,,,,,,
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,NYSE,,,,,,,
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components,NYSE,,,,,,,
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,NYSE,,,,,,,
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers,NYSE,,,,,,,
ASA,ASA Gold and Precious Metals Limited,n/a,n/a,NYSE,,,,,,,
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,NYSE,,,,,,,
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors,NYSE,,,,,,,
ASGN,ASGN Incorporated,Technology,Professional Services,NYSE,,,,,,,
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a,NYSE,,,,,,,
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a,NYSE,,,,,,,
AHT^G,Ashford Hospitality Trust Inc,n/a,n/a,NYSE,,,,,,,
AHT^H,Ashford Hospitality Trust Inc,n/a,n/a,NYSE,,,,,,,
AHT^I,Ashford Hospitality Trust Inc,n/a,n/a,NYSE,,,,,,,
ASH,Ashland Global Holdings Inc.,Consumer Durables,Specialty Chemicals,NYSE,,,,,,,
APB,"Asia Pacific Fund, Inc. (The)",n/a,n/a,NYSE,,,,,,,
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials,NYSE,,,,,,,
AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,NYSE,,,,,,,
AHL^C,Aspen Insurance Holdings Limited,n/a,n/a,NYSE,,,,,,,
AHL^D,Aspen Insurance Holdings Limited,n/a,n/a,NYSE,,,,,,,
ASB,Associated Banc-Corp,Finance,Major Banks,NYSE,,,,,,,
ASB^C,Associated Banc-Corp,n/a,n/a,NYSE,,,,,,,
ASB^D,Associated Banc-Corp,n/a,n/a,NYSE,,,,,,,
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,NYSE,,,,,,,
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,NYSE,,,,,,,
AIZP,"Assurant, Inc.",Finance,Accident &Health Insurance,NYSE,,,,,,,
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,NYSE,,,,,,,
AGO^B,Assured Guaranty Ltd.,n/a,n/a,NYSE,,,,,,,
AGO^E,Assured Guaranty Ltd.,n/a,n/a,NYSE,,,,,,,
AGO^F,Assured Guaranty Ltd.,n/a,n/a,NYSE,,,,,,,
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
HOME,At Home Group Inc.,Consumer Services,Home Furnishings,NYSE,,,,,,,
T,AT&T Inc.,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
TBB,AT&T Inc.,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
TBC,AT&T Inc.,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
ATTO,Atento S.A.,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
ATH,Athene Holding Ltd.,Finance,Life Insurance,NYSE,,,,,,,
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components,NYSE,,,,,,,
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central,NYSE,,,,,,,
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission,NYSE,,,,,,,
AUO,AU Optronics Corp,Technology,Semiconductors,NYSE,,,,,,,
ATHM,Autohome Inc.,Technology,EDP Services,NYSE,,,,,,,
ALV,"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.,NYSE,,,,,,,
AN,"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket,NYSE,,,,,,,
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores,NYSE,,,,,,,
AVLR,"Avalara, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,,,,,,,
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
AGR,"Avangrid, Inc.",Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
AVNS,"Avanos Medical, Inc.",Health Care,Industrial Specialties,NYSE,,,,,,,
AVYA,Avaya Holdings Corp.,Public Utilities,Telecommunications Equipment,NYSE,,,,,,,
AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging,NYSE,,,,,,,
AVH,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services,NYSE,,,,,,,
AVA,Avista Corporation,Public Utilities,Power Generation,NYSE,,,,,,,
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NYSE,,,,,,,
AVX,AVX Corporation,Capital Goods,Electrical Products,NYSE,,,,,,,
EQH,"AXA Equitable Holdings, Inc.",Finance,Specialty Insurers,NYSE,,,,,,,
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,NYSE,,,,,,,
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers,NYSE,,,,,,,
AXS^D,Axis Capital Holdings Limited,n/a,n/a,NYSE,,,,,,,
AXS^E,Axis Capital Holdings Limited,n/a,n/a,NYSE,,,,,,,
AZUL,Azul S.A.,Transportation,Air Freight/Delivery Services,NYSE,,,,,,,
AZRE,Azure Power Global Limited,Public Utilities,Electric Utilities: Central,NYSE,,,,,,,
AZZ,AZZ Inc.,Consumer Durables,Building Products,NYSE,,,,,,,
BGS,"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods,NYSE,,,,,,,
BW,Babcock,Capital Goods,Building Products,NYSE,,,,,,,
BGH,Babson Global Short Duration High Yield Fund,n/a,n/a,NYSE,,,,,,,
BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components,NYSE,,,,,,,
BHGE,"Baker Hughes, a GE company",Energy,Metal Fabrications,NYSE,,,,,,,
BBN,BalckRock Taxable Municipal Bond Trust,n/a,n/a,NYSE,,,,,,,
BLL,Ball Corporation,Consumer Durables,Containers/Packaging,NYSE,,,,,,,
BANC,"Banc of California, Inc.",Finance,Major Banks,NYSE,,,,,,,
BANC^D,"Banc of California, Inc.",n/a,n/a,NYSE,,,,,,,
BANC^E,"Banc of California, Inc.",n/a,n/a,NYSE,,,,,,,
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks,NYSE,,,,,,,
BBD,Banco Bradesco Sa,Finance,Major Banks,NYSE,,,,,,,
